,cycle_id,harvested_at,weight,size,total_harvest(kg),total_seed,survival_rate(%),average_weight(gr),est_remaining_population,biomass(kg),avg_pond_length,avg_pond_width,avg_pond_depth,long_cycle(day),total_feed(kg),avg_tray_number,avg_feed_remain%,count_fasting,total_mortal,avg_weight_mortal,avg_weight_sample
0,3458,2020-05-13,1643.13,94.0,154454.22,566669,27.26,10.638297872340425,412214.78,4385.263617021276,80.09,60.07,1.2,112,9987.0,0.0,0.0,0.0,0.0,0.0,13.589999999999998
1,3458,2020-05-26,1503.8,71.0,106769.8,566669,46.1,14.08450704225352,305444.98,4302.041971830986,80.09,60.07,1.2,112,9987.0,0.0,0.0,0.0,0.0,0.0,13.589999999999998
2,3458,2020-06-13,1206.0,49.0,59094.0,566669,56.53,20.408163265306122,246350.97999999998,5027.571020408162,80.09,60.07,1.2,112,9987.0,0.0,0.0,0.0,0.0,0.0,13.589999999999998
3,3458,2020-06-27,3030.0,41.0,124230.0,566669,78.45,24.390243902439025,122120.97999999998,2978.5604878048775,80.09,60.07,1.2,112,9987.0,0.0,0.0,0.0,0.0,0.0,13.589999999999998
4,3459,2020-05-13,1576.46,97.0,152916.62,566669,26.99,10.309278350515465,413752.38,4265.488453608247,78.62,58.97,1.2,121,10913.0,0.0,0.0,0.0,0.0,0.0,14.322307692307692
5,3459,2020-05-26,1550.0,73.0,113150.0,566669,46.95,13.698630136986301,300602.38,4117.840821917808,78.62,58.97,1.2,121,10913.0,0.0,0.0,0.0,0.0,0.0,14.322307692307692
6,3459,2020-06-13,1183.4,49.0,57986.600000000006,566669,57.19,20.408163265306122,242615.78000000003,4951.342448979592,78.62,58.97,1.2,121,10913.0,0.0,0.0,0.0,0.0,0.0,14.322307692307692
7,3459,2020-07-06,3144.18,37.0,116334.65999999999,566669,77.72,27.027027027027028,126281.12,3413.003243243243,78.62,58.97,1.2,121,10913.0,0.0,0.0,0.0,0.0,0.0,14.322307692307692
8,4036,2020-05-17,170.0,350.0,59500.0,172250,34.54,2.857142857142857,112750.0,322.14285714285717,39.5,18.4,1.1,39,480.1,0.0,0.0,1.0,0.0,0.0,0.0
9,4036,2020-05-20,271.0,350.0,94850.0,172250,89.61,2.857142857142857,17900.0,51.142857142857146,39.5,18.4,1.1,39,480.1,0.0,0.0,1.0,0.0,0.0,0.0
10,4038,2020-05-30,82.68,170.0,14055.6,350000,4.02,5.88235294117647,335944.4,1976.1435294117646,60.0,45.0,1.5,94,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
11,4038,2020-06-09,302.2,121.0,36566.2,350000,14.46,8.264462809917356,299378.2,2474.2000000000003,60.0,45.0,1.5,94,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
12,4038,2020-06-21,367.54,88.0,32343.52,350000,23.7,11.363636363636363,267034.68,3034.485,60.0,45.0,1.5,94,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
13,4038,2020-07-02,425.48,68.0,28932.64,350000,31.97,14.705882352941178,238102.04,3501.5005882352943,60.0,45.0,1.5,94,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
14,4038,2020-07-15,5311.92,55.0,292155.6,350000,115.44,18.181818181818183,-54053.55999999994,-982.791999999999,60.0,45.0,1.5,94,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
15,4038,2020-07-15,32.04,32.0,1025.28,350000,115.74,31.25,-55078.83999999997,-1721.213749999999,60.0,45.0,1.5,94,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
16,4039,2020-05-30,57.26,169.0,9676.94,210000,4.61,5.9171597633136095,200323.06,1185.343550295858,37.06,27.79,1.9,94,3770.5,0.0,0.0,0.0,0.0,0.0,10.88125
17,4039,2020-06-09,111.84,128.0,14315.52,210000,11.42,7.8125,186007.54,1453.18390625,37.06,27.79,1.9,94,3770.5,0.0,0.0,0.0,0.0,0.0,10.88125
18,4039,2020-06-21,192.48,103.0,19825.44,210000,20.87,9.708737864077671,166182.1,1613.418446601942,37.06,27.79,1.9,94,3770.5,0.0,0.0,0.0,0.0,0.0,10.88125
19,4039,2020-07-02,199.7,79.0,15776.3,210000,28.38,12.658227848101266,150405.8,1903.8708860759493,37.06,27.79,1.9,94,3770.5,0.0,0.0,0.0,0.0,0.0,10.88125
20,4039,2020-07-15,2391.26,67.0,160214.42,210000,104.67,14.925373134328357,-9808.619999999995,-146.39731343283574,37.06,27.79,1.9,94,3770.5,0.0,0.0,0.0,0.0,0.0,10.88125
21,4044,2020-07-01,715.58,65.0,46512.700000000004,215858,21.55,15.384615384615383,169345.3,2605.3123076923075,40.82,30.62,1.1,119,7182.5,0.0,0.0,0.0,0.0,0.0,12.280714285714286
22,4044,2020-07-01,72.35,79.0,5715.65,215858,24.2,12.658227848101266,163629.65,2071.2613924050634,40.82,30.62,1.1,119,7182.5,0.0,0.0,0.0,0.0,0.0,12.280714285714286
23,4044,2020-07-01,121.07,112.0,13559.84,215858,30.48,8.928571428571429,150069.81,1339.909017857143,40.82,30.62,1.1,119,7182.5,0.0,0.0,0.0,0.0,0.0,12.280714285714286
24,4044,2020-07-18,549.66,48.0,26383.68,215858,42.7,20.833333333333332,123686.13,2576.794375,40.82,30.62,1.1,119,7182.5,0.0,0.0,0.0,0.0,0.0,12.280714285714286
