,cycle_id,total_harvest(kg),total_seed,survival_rate(%),avg_pond_length,avg_pond_width,avg_pond_depth,long_cycle(day),total_feed(kg),avg_tray_number,avg_feed_remain%,count_fasting,total_mortal,avg_weight_mortal,avg_weight_sample
0,3458,444548.02,566669,78.45,80.09,60.07,1.2,112,9987.0,0.0,0.0,0.0,0.0,0.0,13.589999999999998
1,3459,440387.88,566669,77.72,78.62,58.97,1.2,121,10913.0,0.0,0.0,0.0,0.0,0.0,14.322307692307692
2,4036,154350.0,172250,89.61,39.5,18.4,1.1,39,480.1,0.0,0.0,1.0,0.0,0.0,0.0
3,4038,405078.83999999997,350000,115.74,60.0,45.0,1.5,94,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
4,4039,219808.62,210000,104.67,37.06,27.79,1.9,94,3770.5,0.0,0.0,0.0,0.0,0.0,10.88125
5,4044,187493.3,215858,86.86,40.82,30.62,1.1,119,7182.5,0.0,0.0,0.0,0.0,0.0,12.280714285714286
6,4045,200709.32,227526,88.21,41.79,31.34,1.1,119,7187.5,0.0,0.0,0.0,0.0,0.0,11.851428571428572
7,4046,159487.62,180854,88.19,37.24,27.93,1.1,115,6135.5,0.0,0.0,0.0,0.0,0.0,12.117857142857144
8,4047,217574.22999999998,233360,93.24,42.27,31.7,1.1,108,6561.0,0.0,0.0,0.0,0.0,0.0,11.205384615384615
9,4048,234405.1,265447,88.31,45.31,33.99,1.1,119,8166.0,0.0,0.0,0.0,0.0,0.0,11.722142857142858
10,4181,83582.0,100000,83.58,22.07,18.3,1.2,52,611.98,0.0,0.0,5.0,0.0,0.0,5.5
11,4233,255000.0,400000,63.75,40.41,30.31,1.5,59,2705.0,0.0,0.0,1.0,0.0,0.0,4.55
12,4238,16821.09,223488,7.53,20.46,15.35,120.0,105,1520.0,0.0,0.0,1.0,0.0,0.0,17.96090909090909
13,4239,58754.229999999996,223488,26.29,20.46,15.35,120.0,105,3305.0,0.0,0.0,0.0,0.0,0.0,14.93909090909091
14,4241,42468.229999999996,213316,19.91,20.46,15.35,120.0,105,2870.0,0.0,0.0,0.0,0.0,0.0,15.935454545454546
15,4253,132000.0,168750,78.22,36.51,27.39,150.0,31,345.0,0.0,0.0,1.0,0.0,0.0,2.0
16,4254,301500.0,300000,100.5,0.0,0.0,0.0,30,597.0,0.0,0.0,1.0,0.0,0.0,0.0
17,4309,128450.0,170000,75.56,28.28,21.21,1.7,84,3207.3,0.0,0.0,1.0,0.0,0.0,17.566666666666666
18,4349,112000.0,80000,140.0,20.0,20.0,1.5,54,816.5,0.0,0.0,0.0,0.0,0.0,0.0
19,4442,82365.0,98544,83.58,50.0,40.0,0.8,99,2456.6,0.0,0.0,5.0,0.0,0.0,11.950000000000001
20,4446,76058.0,100000,76.06,51.64,38.73,0.0,103,2236.7,0.0,0.0,5.0,0.0,0.0,8.514
21,4489,60000.0,90000,66.67,44.72,33.54,1.5,37,392.5,0.0,0.0,0.0,0.0,0.0,0.0
22,4491,52000.0,90000,57.78,25.0,24.0,1.3,35,363.4,0.0,0.0,2.0,0.0,0.0,2.5
23,4514,107000.0,108000,99.07,29.3,21.98,1.5,52,467.0,0.0,0.0,1.0,0.0,0.0,5.375
24,4515,153000.0,180000,85.0,49.0,27.0,1.3,50,683.9,0.0,0.0,1.0,0.0,0.0,4.5
25,4551,65270.0,115200,56.66,39.5,18.4,1.1,44,420.0,0.0,0.0,1.0,0.0,0.0,3.5233333333333334
26,4552,12800.0,12000,106.67,4.0,6.0,1.2,37,32.62,0.0,0.0,0.0,0.0,0.0,0.0
27,4620,66000.0,175000,37.71,44.72,33.54,0.0,83,1841.0,0.0,0.0,1.0,0.0,0.0,0.0
28,4621,59200.0,175000,33.83,44.72,33.54,0.0,64,907.0,0.0,0.0,0.0,0.0,0.0,0.0
29,4622,23750.0,175000,13.57,650.0,650.0,0.0,64,717.0,0.0,0.0,1.0,0.0,0.0,0.0
30,4750,45142.85,43200,104.5,20.0,20.0,120.0,91,908.0,0.0,0.0,1.0,0.0,0.0,10.780000000000001
31,4751,47743.200000000004,43200,110.52,20.0,20.0,120.0,91,916.0,0.0,0.0,0.0,0.0,0.0,10.51142857142857
32,4803,86000.0,168750,50.96,36.51,27.39,150.0,32,177.0,0.0,0.0,2.0,0.0,0.0,0.0
33,4887,76500.0,62000,123.39,24.0,9.0,1.2,67,858.9,0.0,0.0,0.0,0.0,0.0,6.1
34,4896,56392.0,70000,80.56,25.0,28.0,1.3,43,327.95,0.0,0.0,2.0,0.0,0.0,4.7
35,4938,53440.0,75000,71.25,22.07,18.3,1.2,54,383.32,0.0,0.0,6.0,0.0,0.0,3.66
36,4946,117273.0,200000,58.64,75.72,56.79,0.0,59,1551.8,0.0,0.0,1.0,0.0,0.0,6.994
37,4957,11200.0,15000,74.67,4.0,6.0,1.2,40,43.87,0.0,0.0,0.0,0.0,0.0,0.0
38,5159,114000.0,120000,95.0,25.0,24.0,1.3,36,342.5,0.0,0.0,1.0,0.0,0.0,0.0
39,5222,166915.06,251376,66.4,40.0,40.0,1.3,137,6578.0,0.0,0.0,1.0,0.0,0.0,17.29
40,5223,266956.65,372000,71.76,60.0,40.0,1.3,140,10531.0,0.0,0.0,11.0,0.0,0.0,15.31
41,5435,143317.9,351750,40.74,42.97,32.23,2.0,57,2388.95,0.0,0.0,0.0,0.0,0.0,5.35
42,5437,165105.09,393750,41.93,50.83,38.12,2.0,55,3348.0,0.0,0.0,0.0,0.0,0.0,4.5200000000000005
43,5438,296101.93,420000,70.5,52.85,39.64,2.0,56,4212.0,0.0,0.0,0.0,0.0,0.0,5.4775
44,5439,155198.42,221250,70.15,38.23,28.67,2.0,56,2264.0,0.0,0.0,0.0,0.0,0.0,5.865
45,5441,247501.38,442500,55.93,54.15,40.61,2.0,55,3680.0,0.0,0.0,0.0,0.0,0.0,4.363333333333333
46,5442,305399.16000000003,392000,77.91,51.12,38.34,0.0,56,3911.0,0.0,0.0,0.0,0.0,0.0,5.185
47,5677,78033.0,150000,52.02,28.28,21.21,1.7,81,2100.0,0.0,0.0,2.0,0.0,0.0,15.868571428571428
48,5731,79625.0,100000,79.62,27.33,20.49,1.2,81,1360.8,0.0,0.0,2.0,0.0,0.0,7.574285714285715
49,5902,59785.04,70170,85.2,32.66,24.49,1.2,121,1912.9,0.0,0.0,6.0,0.0,0.0,16.790769230769232
50,5903,58033.8,70170,82.7,32.66,24.49,1.2,121,1824.9,0.0,0.0,7.0,0.0,0.0,16.408333333333335
51,5918,74744.34,77000,97.07,32.66,24.49,120.0,127,2622.5,0.0,0.0,0.0,0.0,0.0,16.660714285714285
52,5919,33175.03999999999,77000,43.08,32.66,24.49,120.0,127,1799.6,0.0,0.0,0.0,0.0,0.0,17.85571428571429
53,5920,43484.100000000006,76800,56.62,32.66,24.49,0.0,108,1687.0,0.0,0.0,0.0,0.0,0.0,13.887500000000001
54,5921,50380.4,76800,65.6,32.66,24.49,0.0,108,1745.2,0.0,0.0,0.0,0.0,0.0,13.907499999999999
55,6319,68522.38,122000,56.17,37.67,28.25,1.1,95,1721.5,0.0,0.0,0.0,0.0,0.0,10.81111111111111
56,6431,64500.0,180000,35.83,0.0,0.0,150.0,53,1308.6,0.0,0.0,0.0,0.0,0.0,5.13
57,6628,185010.0,200000,92.51,32.86,24.65,1.5,55,1549.5,0.0,0.0,3.0,0.0,0.0,3.9599999999999995
58,6952,72000.0,60000,120.0,24.0,9.0,1.2,66,543.22,0.0,0.0,8.0,0.0,0.0,4.873333333333334
59,7127,175000.0,130000,134.62,33.67,25.25,1.5,58,786.9,0.0,0.0,43.0,0.0,0.0,0.0
60,7130,216600.0,185000,117.08,28.28,21.21,1.7,52,1694.0,0.0,0.0,0.0,0.0,0.0,5.0
61,7273,44858.83,75000,59.81,20.0,15.0,1.3,94,700.0,0.0,0.0,0.0,43680.0,40.14,11.2
62,7276,41410.3,75000,55.21,20.0,15.0,300.0,94,700.0,0.0,0.0,0.0,44211.0,37.69,11.2
63,7277,32432.5,75000,43.24,20.0,15.0,1.3,84,700.0,0.0,0.0,0.0,43683.0,40.12,11.2
64,7289,28989.0,75000,38.65,20.0,15.0,1.3,84,700.0,0.0,0.0,0.0,43683.0,40.12,11.2
65,7293,45295.0,75000,60.39,20.0,15.0,1.3,84,700.0,0.0,0.0,0.0,43683.0,40.12,11.2
66,7303,38622.0,75000,51.5,20.0,15.0,1.3,84,700.0,0.0,0.0,0.0,43683.0,40.12,11.2
67,7605,247090.84,524394,47.12,57.74,43.3,3.0,119,7154.86,0.0,0.0,7.0,10068.0,33.51,7.667142857142857
68,7606,134474.13,756750,17.77,57.74,43.3,3.0,107,6247.6,0.0,0.0,8.0,31840.0,18.79,8.576666666666666
69,7615,65646.40000000001,374040,17.55,64.47,48.35,2.0,76,4133.0,0.0,0.0,0.0,0.0,0.0,6.986
70,7616,71764.3,401280,17.88,66.77,50.08,2.0,77,4548.8,0.0,0.0,42.0,0.0,0.0,6.612
71,7617,252186.9,424080,59.47,68.64,51.48,2.0,77,3567.3,0.0,0.0,0.0,0.0,0.0,5.09
72,7622,97760.4,138321,70.68,38.23,28.67,2.0,94,2304.2,0.0,0.0,0.0,0.0,0.0,9.44625
73,7876,187116.88,257040,72.8,37.24,27.93,1.1,103,4356.4,0.0,0.0,10.0,0.0,0.0,10.884117647058824
74,7897,99925.0,100000,99.92,31.09,23.32,1.0,54,636.05,0.0,0.0,3.0,0.0,0.0,4.36
75,7991,433934.67999999993,320855,135.24,51.64,38.73,1.6,81,9394.0,0.0,0.0,1.0,0.0,0.0,12.205
76,7992,558118.4099999999,400642,139.31,57.74,43.3,1.6,84,11922.0,0.0,0.0,0.0,0.0,0.0,12.64
77,7993,487982.23999999993,402985,121.09,57.74,43.3,1.6,84,11714.0,0.0,0.0,2.0,0.0,0.0,11.517142857142858
78,7995,14326.38,13664,104.85,10.33,7.75,1.6,77,381.2,0.0,0.0,0.0,0.0,0.0,10.18875
79,7996,11996.73,11956,100.34,0.0,0.0,1.6,77,379.3,0.0,0.0,0.0,0.0,0.0,11.55375
80,7997,51601.55,56364,91.55,19.37,14.53,1.6,52,707.9,0.0,0.0,0.0,0.0,0.0,8.581999999999999
